"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 07:44:53 GMT 2024","Wed Aug 07 07:44:53 GMT 2024","840","firefox","e2e.spec.ts","Cart Page Validations","","","Description column in the cart is visible",""
"passed","Wed Aug 07 07:44:49 GMT 2024","Wed Aug 07 07:44:51 GMT 2024","1810","firefox","e2e.spec.ts","Products page validations","","","Validate that Log Out button is visible",""
"passed","Wed Aug 07 07:44:42 GMT 2024","Wed Aug 07 07:44:42 GMT 2024","321","chromium","e2e.spec.ts","Login page validations","","","Login button is visible",""
"passed","Wed Aug 07 07:44:59 GMT 2024","Wed Aug 07 07:44:59 GMT 2024","482","webkit","e2e.spec.ts","Login page validations","","","Login button is visible",""
"passed","Wed Aug 07 07:45:00 GMT 2024","Wed Aug 07 07:45:01 GMT 2024","940","webkit","e2e.spec.ts","Products page validations","","","Product picture is visible on product page",""
"passed","Wed Aug 07 07:44:53 GMT 2024","Wed Aug 07 07:44:54 GMT 2024","837","firefox","e2e.spec.ts","Cart Page Validations","","","Continue shopping button in the cart is visible",""
"passed","Wed Aug 07 07:45:05 GMT 2024","Wed Aug 07 07:45:06 GMT 2024","1345","webkit","e2e.spec.ts","E2E tests","","","After adding six products to the cart, the user will be able to see the number six on the cart icon",""
"passed","Wed Aug 07 07:44:47 GMT 2024","Wed Aug 07 07:44:49 GMT 2024","1545","firefox","e2e.spec.ts","Login page validations","","","Password field is visible",""
"passed","Wed Aug 07 07:44:50 GMT 2024","Wed Aug 07 07:44:50 GMT 2024","726","firefox","e2e.spec.ts","Products page validations","","","Validate that products Cart is visible",""
"passed","Wed Aug 07 07:44:46 GMT 2024","Wed Aug 07 07:44:46 GMT 2024","746","chromium","e2e.spec.ts","E2E tests","","","After adding six products to the cart, the user will be able to see the number six on the cart icon",""
