"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1264","Product description is visible on product page","webkit","Tue Aug 06 14:51:43 EEST 2024","passed","Tue Aug 06 14:51:45 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1326","User is able to choose a product and buy it","webkit","Tue Aug 06 14:51:46 EEST 2024","passed","Tue Aug 06 14:51:48 EEST 2024","E2E tests","e2e.spec.ts","",""
"","1329","After adding six products to the cart, the user will be able to see the number six on the cart icon","firefox","Tue Aug 06 14:51:37 EEST 2024","passed","Tue Aug 06 14:51:38 EEST 2024","E2E tests","e2e.spec.ts","",""
"","1371","Product price is visible on product page","webkit","Tue Aug 06 14:51:43 EEST 2024","passed","Tue Aug 06 14:51:45 EEST 2024","Products page validations","e2e.spec.ts","",""
"","941","Continue shopping button in the cart is visible","chromium","Tue Aug 06 14:51:27 EEST 2024","passed","Tue Aug 06 14:51:28 EEST 2024","Cart Page Validations","e2e.spec.ts","",""
"","2065","Validate that Log Out button is visible","webkit","Tue Aug 06 14:51:43 EEST 2024","passed","Tue Aug 06 14:51:45 EEST 2024","Products page validations","e2e.spec.ts","",""
"","843","Username field is visible","webkit","Tue Aug 06 14:51:41 EEST 2024","passed","Tue Aug 06 14:51:42 EEST 2024","Login page validations","e2e.spec.ts","",""
"","1223","Description column in the cart is visible","webkit","Tue Aug 06 14:51:45 EEST 2024","passed","Tue Aug 06 14:51:46 EEST 2024","Cart Page Validations","e2e.spec.ts","",""
"","2499","Validate that products Cart is visible","firefox","Tue Aug 06 14:51:32 EEST 2024","passed","Tue Aug 06 14:51:35 EEST 2024","Products page validations","e2e.spec.ts","",""
"","742","Password field is visible","chromium","Tue Aug 06 14:51:25 EEST 2024","passed","Tue Aug 06 14:51:26 EEST 2024","Login page validations","e2e.spec.ts","",""
"","866","Login button is visible","webkit","Tue Aug 06 14:51:42 EEST 2024","passed","Tue Aug 06 14:51:43 EEST 2024","Login page validations","e2e.spec.ts","",""
"","847","Product description is visible on product page","chromium","Tue Aug 06 14:51:26 EEST 2024","passed","Tue Aug 06 14:51:27 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1090","Product name is visible on product page","webkit","Tue Aug 06 14:51:42 EEST 2024","passed","Tue Aug 06 14:51:43 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1914","Username field is visible","firefox","Tue Aug 06 14:51:31 EEST 2024","passed","Tue Aug 06 14:51:33 EEST 2024","Login page validations","e2e.spec.ts","",""
